Gene_symbol	Human_entrez	Rat_entrez	Mouse_entrez	Gene_Name	Synonym	DbTF	PMID	Uniprot_Human	Uniprot_Rat	Uniprot_mouse
RBBP8NL	"RBBP8 N-terminal like"	140893	0	271887	C20ORF151	0	0	Q8NC74		Q8CEB4,A2ABX0
RBBP9	"retinoblastoma binding protein 9"	10741	29459	26450	BOG|RBBP10	0	0	O75884	O88350	A2AN96,O88851,Q80YU9
RBCK1	"RanBP-type and C3HC4-type zinc finger containing 1"	10616	60383	24105	C20ORF18|HOIL-1|HOIL1|RBCK2|RNF54|UBCE7IP3|XAP3|XAP4|ZRANB4	0	0	Q9BYM8	Q62921	Q9WUB0
RBFOX2	"RNA binding protein, fox-1 homolog (C. elegans) 2"	23543	362950	93686	FOX2|FOX-2|HNRBP2|HRNBP2|RBM9|RTA|DJ106I20.3|FXH	0	0	O43251	A1A5R1	Q8BP71
RBL1	"retinoblastoma-like 1 (p107)"	5933	680111	19650	CP107|PRB1|P107	0	0	P28749		Q3UI58,Q6PAR4,Q64701
RBL2	"retinoblastoma-like 2 (p130)"	5934	81758	19651	P130|RB2	0	0	Q08999,Q8NE70	O55081	Q64700
RBM10	"RNA binding motif protein 10"	8241	64510	236732	DXS8237E|GPATC9|GPATCH9|S1-1|TARPS|ZRANB5	0	0	Q7Z3D7,P98175	P70501	Q99KG3
RBM14	"RNA binding motif protein 14"	10432	170900	56275	COAA|PSP2|SIP|SYTIP1|TMEM137	0	0	Q96PK6,Q2PYN1		Q8C2Q3
RBM15	"RNA binding motif protein 15"	64783	0	229700	OTT|OTT1|SPEN	0	0	Q86VW9,Q96T37		Q0VBL3
RBM15B	"RNA binding motif protein 15B"	29890	315988	109095	HUMAGCGB|OTT3	0	0	Q8NDT2		Q6PHZ5
RBM20	"RNA binding motif protein 20"	282996	309544	73713	-	0	0	Q5T481		Q3UQS8
RBM22	"RNA binding motif protein 22"	55696	307410	66810	CWC2|ZC3H16|FSAP47	0	0	Q9NW64	Q4V7D7	Q8BHS3
RBM26	"RNA binding motif protein 26"	64062	0	74213	ARRS2|C13ORF10|RP11-255E21.1|SE70-2|ZC3H17	0	0	Q5T8P6		E9PUF4,Q6NZN0
RBM27	"RNA binding motif protein 27"	54439	361317	225432	ARRS1|PSC1	0	0	Q9P2N5		Q5SFM8
RBM39	"RNA binding motif protein 39"	9584	362251	170791	CAPER|CAPERALPHA|FSAP59|HCC1|RNPC2	0	0	Q14498,B4DRA0	Q5BJP4	Q8VH51
RBM5	"RNA binding motif protein 5"	10181	300996	83486	G15|LUCA15|RMB5	0	0	P52756	B2GV05	Q91YE7
RBM6	"RNA binding motif protein 6"	10180	315997	19654	3G2|DEF-3|DEF3|HLC-11|NY-LU-12|G16	0	0	Q86SS3,A8K6Q4,P78332	D4ACW0	Q3ULB0
RBM7	"RNA binding motif protein 7"	10179	315634	67010	-	0	0	Q9Y580	B2RZ14	Q14A95,Q9CQT2
RBMX	"RNA binding motif protein, X-linked"	27316	302855	19655	HNRPG|RBMXP1|RBMXRT|RNMX|HNRNP-G	0	0	P38159	Q4V898	Q9WV02
RBMXL2	"RNA binding motif protein, X-linked-like 2"	27288	0	76572	HNRNPG-T|HNRNPGT|HNRPGT	0	0	O75526		Q9DAE2
RBPJ	"recombination signal binding protein for immunoglobulin kappa J region"	3516	679028	19664	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|CSL	yes	16439682	Q06330		Q6R5E9,P31266,E9Q7W0,Q3UM17
RBPJL	"recombination signal binding protein for immunoglobulin kappa J region-like"	11317	362268	19668	RBP-L|RBPSUHL|SUH|SUHL	yes	"9111338, 9111338, 9111338, 16354684"	Q9UBG7	D4AEG0	Q3V2I2,O08674
RBPMS	"RNA binding protein with multiple splicing"	11030	498642	19663	HERMES	0	0	Q93062		Q78HG1,Q9WVB0,Q9CPU5
RBPSUH	"recombining binding protein suppressor of hairless (Drosophila)"	0	297767	0		0	0			
RBPSUH-RS3	"recombining binding protein suppressor of hairless (Drosophila), related sequence 3"	0	0	19667	IGKRSBP-RS3	0	0			
RC3H1	"ring finger and CCCH-type domains 1"	149041	680586	381305	RNF198|ROQUIN	0	0	Q5TC82		Q4VGL6
RC3H2	"ring finger and CCCH-type domains 2"	54542	311909	319817	MNAB|RNF164	0	0	Q9HBD1	D3ZBM2	Q148V5,P0C090,Q148V4
RCAN1	"regulator of calcineurin 1"	1827	266766	54720	ADAPT78|CSP1|DSC1|DSCR1|MCIP1|RCN1	0	0	P53805,Q6FGP2	Q6IN33	Q542V6,Q9JHG6,Q7TNY3
RCOR1	"REST corepressor 1"	23186	314458	217864	COREST|RCOR	yes	10449787	J3KN32,Q9UKL0	B5DEY2	Q8CFE3
RCOR2	"REST corepressor 2"	283248	305811	104383	-	0	0	Q8IZ40	Q5FWT8	Q8C796
RCOR2L1	"REST corepressor 2-like 1"	0	498485	0	RGD1565031	0	0		Q5FWT8	
RCOR3	"REST corepressor 3"	55758	684192	214742	RP11-318L16.1	0	0	Q9P2K3	B5DFE7	B2RSN6,Q6PGA0
RCVRN	recoverin	5957	140936	19674	RCV1	0	0	P35243,Q53XL0	Q8VH47	Q2TB46,P34057
RDBP	"RD RNA binding protein"	7936	294258	27632	D6S45|NELF-E|RD|RDP	0	0	P18615	Q6MG75	Q3UIA1,P19426
REL	"v-rel reticuloendotheliosis viral oncogene homolog (avian)"	5966	305584	19696	C-REL	yes	1406630	Q04864		A4QPD3
RELA	"v-rel reticuloendotheliosis viral oncogene homolog A (avian)"	5970	309165	19697	NFKB3|P65	yes	"1935902, 15485852, 15857826"	Q04206	Q7TQN4	Q04207,Q548Y4
RELB	"v-rel reticuloendotheliosis viral oncogene homolog B"	5971	100360982	19698	I-REL|IREL|REL-B	yes	8183565	Q01201		Q04863
RELL2	"RELT-like 2"	285613	361313	225392	C5ORF16	0	0	Q8NC24	Q5FVJ4	Q8BRJ3
REPIN1	"replication initiator 1"	29803	445541	58887	AP4|RIP60|ZNF464|ZFP464	0	0	C9J3L7,Q9BWE0	Q68H95	Q5U4E2
RERE	"arginine-glutamic acid dipeptide (RE) repeats"	473	116665	68703	ARG|ARP|ATN1L|DNB1	0	0	Q9P2R6	Q62901	Q80TZ9
REST	"RE1-silencing transcription factor"	5978	83618	19712	NRSF|XBR	yes	15240883	Q13127	O54963	Q8VIG1
REXO2	"REX2, RNA exonuclease 2 homolog (S. cerevisiae)"	25996	691261	104444	REX2|RFN|SFN	0	0	Q9Y3B8,B2R532		
REXO4	"REX4, RNA exonuclease 4 homolog (S. cerevisiae)"	57109	311826	227656	REX4|XPMC2|XPMC2H	0	0	Q9GZR2	B1WBN4	Q6PAQ4
RFC1	"replication factor C (activator 1) 1, 145kDa"	5981	89809	19687	A1|MHCBFB|PO-GA|RECC1|RFC|RFC140	0	0	P35251	Q9Z2R7,O88461	G3X8Z6,P35601
RFPL3	"ret finger protein-like 3"	10738	0	0	-	0	0	A2A279,Q8N5R4,O75679		
RFX1	"regulatory factor X, 1 (influences HLA class II expression)"	5989	288906	19724	EFC|RFX	yes	10330134	P22670	D3ZQ82	P48377
RFX2	"regulatory factor X, 2 (influences HLA class II expression)"	5990	301121	19725	-	yes	8289803	P48378	B2GV50	P48379
RFX3	"regulatory factor X, 3 (influences HLA class II expression)"	5991	361746	19726	BA32F11.1	yes	10330134	P48380	Q5U2M9	P48381
RFX4	"regulatory factor X, 4 (influences HLA class II expression)"	5992	500818	71137	NYD-SP10	yes	11682486	Q33E94		Q7TNK1
RFX5	"regulatory factor X, 5 (influences HLA class II expression)"	5993	310659	53970	-	yes	"9806546, 12697811, 9177217"	P48382	D3ZHD7	Q9JL61,Q0P5W9
RFX6	"regulatory factor X, 6"	222546	294395	320995	MTFS|RFXDC1|DJ955L16.1	yes	18673564	Q8HWS3		Q8C7R7
RFX7	"regulatory factor X, 7"	64864	315804	319758	RFXDC2	yes	18673564	Q2KHR2	E9PT49	F8VPJ6,Q8C1T6
RFX8	"RFX family member 8, lacking RFX DNA binding domain"	731220	501127	619289	-	0	0	Q6ZV50		D3YU81
RFXANK	"regulatory factor X-associated ankyrin-containing protein"	8625	306353	19727	ANKRA1|BLS|F14150_1|RFX-B	0	0	O14593	Q5PQM6	Q53X17,Q9Z205,Q543F0
RFXAP	"regulatory factor X-associated protein"	5994	499617	170767	-	0	0	O00287	Q4KM44	Q8VCG9
RGCC	"regulator of cell cycle"	28984	117183	66214	C13ORF15|RGC-32|RGC32|BA157L14.2	0	0	Q9H4X1	Q9Z2P4	Q9DBX1
RGD1303130	"kidney predominant protein NCU-G1"	0	295231	0	0610031J06RIK|MGC94430	0	0		Q68FV6	
RGD1560095	"similar to double homeobox, 4"	0	499454	0	-	0	0			
RGD1560135	"similar to double homeobox, 4"	0	499452	0	-	0	0			
RGD1560225	"similar to nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1"	0	307231	0	-	0	0			
RGD1561748	"similar to zinc finger and SCAN domain containing 4"	0	299652	0	-	0	0			
RGD1563034	"similar to ETS domain transcription factor ERF (Ets2 repressor factor)"	0	292720	0	-	0	0			
RGD1563666	"similar to chromosome X open reading frame 43"	0	317617	0	-	0	0			
RGD1563833	"similar to putative homeobox protein"	0	502448	0	-	0	0			
RGD1564927	"similar to TGFB-induced factor 2"	0	499929	0	TGIF2	0	0			
RGD1565550	"similar to double homeobox, 4"	0	499453	0	-	0	0			
RGS11	"regulator of G-protein signaling 11"	8786	54291	50782	RS11	0	0	Q4TT72,Q4TT70,O94810		G3X8W6
RGS14	"regulator of G-protein signaling 14"	10636	114705	51791	-	0	0	O43566	O08773	P97492
RGS6	"regulator of G-protein signaling 6"	9628	54295	50779	GAP	0	0	Q2M3K2,P49758,B7Z2A0,B7Z2N1		Q9Z2H2
RGS7	"regulator of G-protein signaling 7"	6000	54296	24012	-	0	0	P49802	P49803	Q80XD3,O54829
RGS9	"regulator of G-protein signaling 9"	8787	29481	19739	PERRS|RGS9L	0	0	A8K1G1,O75916	P49805	Q3UUR0,O54828
RHOA	"ras homolog family member A"	387	117273	11848	ARH12|ARHA|RHO12|RHOH12	0	0	P61586,Q9BVT0	P61589	Q9QUI0,Q4VAE6
RHOX1	"reproductive homeobox 1"	0	0	385343		0	0			B1APN4,Q4TU92
RHOX10	"reproductive homeobox 10"	0	652926	434769		0	0		Q4TU73	Q4TU83
RHOX11	"reproductive homeobox 11"	0	298346	194738	BC049711|GM39|MGC58663	0	0		Q4TU72	Q810N8
RHOX12	"reproductive homeobox 12"	0	363437	382282	GM1148	0	0		Q4TU71	Q4TU81
RHOX13	"Reproductive homeobox 13"	0	691244	73614		0	0			F6YCR7,Q8C1Q7
RHOX2	"reproductive homeobox on X chromosome 2"	0	363439	0	RHOX3	0	0		Q4TU80	
RHOX2A	"reproductive homeobox 2A"	0	0	75199	4930539I12RIK|RHOX2|RHOX2.1	0	0			Q9D4Y3
RHOX2B	"reproductive homeobox 2B"	0	0	100039913	OTTMUSG00000017138|RHOX2.2|RHOX2A	0	0			A2A447
RHOX2C	"reproductive homeobox 2C"	0	0	100039948	OTTMUSG00000017149|RHOX2.3|RHOX2B	0	0			A2AWL9
RHOX2D	"reproductive homeobox 2D"	0	0	434760	EG434760|RHOX2.4|RHOX2C	0	0			D3Z3D1
RHOX2F	"reproductive homeobox 2F"	0	0	434764	EG434764|RHOX2.6|RHOX2E	0	0			A2ANE0
RHOX2G	"reproductive homeobox 2G"	0	0	434766	EG434766|RHOX2.7|RHOX2F	0	0			A2ANE4
RHOX2H	"reproductive homeobox 2H"	0	0	622301	OTTMUSG00000017156|RHOX2.8|RHOX2G	0	0			D3Z3R8
RHOX3	"reproductive homeobox on X chromosome 3"	0	100190895	0		0	0		Q4TU79	
RHOX3A	"reproductive homeobox 3A"	0	0	382209	AY147207|GM1138|PRX|RHOX3|RHOX3.1	0	0			Q4TU90
RHOX3C	"reproductive homeobox 3C"	0	0	100135654	EG665203|RHOX3.3|RHOX3B	0	0			A2AWM0
RHOX3F	"reproductive homeobox 3F"	0	0	621852	OTTMUSG00000017155|RHOX3.6|RHOX3E	0	0			A2ANE1,A6H657
RHOX3H	"reproductive homeobox 3H"	0	0	434758	EG434758|RHOX3.8|RHOX3G	0	0			A2ANE6
RHOX4A	"reproductive homeobox 4A"	0	0	664609	RHOX4|RHOX4.1	0	0			Q9D3I8
RHOX4B	"similar to reproductive homeobox 4B"	0	688580	57737	5430432L21RIK|EHOX|RHOX4.2	0	0			Q9JI43
RHOX4C	"reproductive homeobox 4C"	0	0	434759	RHOX4.3	0	0			Q2MDG1
RHOX4D	"reproductive homeobox 4D"	0	0	664610	RHOX4.4	0	0			Q2MDG0
RHOX4E	"reproductive homeobox 4E"	0	0	194856	RHOX4|RHOX4.5	0	0			Q504P9,Q9D3I8
RHOX4F	"reproductive homeobox 4F"	0	0	636177	RHOX4.6|RHOX4H	0	0			Q2MDF8
RHOX4G	"reproductive homeobox 4G"	0	313451	664608	RHOX4.6|RHOX4.7|RHOX4F	0	0		Q4TU78	Q2MDF7
RHOX5	"reproductive homeobox 5"	0	24631	18617	PEM	yes	18184911		Q63630	Q4TU88,Q3UJH4
RHOX6	"reproductive homeobox 6"	0	0	19202	AV213605|AW548842|PSX1	0	0			O70238
RHOX7	"reproductive homeobox 7"	0	298353	547168	GM712	0	0		Q4TU76	A2A4F1
RHOX8	"reproductive homeobox 8"	0	503423	434768	TOX	0	0		Q4TU75	Q6VSS7
RHOX9	"reproductive homeobox 9"	0	298352	104384	1600026O01RIK|GPBOX|MGC107479|PSX2	0	0		Q4TU74	Q9EQM5
RHOXF1	"Rhox homeobox family, member 1"	158800	0	0	OTEX|PEPP1	0	0	Q8NHV9		
RHOXF2	"Rhox homeobox family, member 2"	84528	0	0	CT107|PEPP-2|PEPP2|THG1	yes	12490318	Q9BQY4		
RHOXF2B	"Rhox homeobox family, member 2B"	727940	0	0	-	yes	20081217	P0C7M4		
RIMS3	"regulating synaptic membrane exocytosis 3"	9783	65025	242662	NIM3|RIM3	0	0	Q9UJD0	Q9JIR3	Q14BY7,Q80U57
RIN3	"Ras and Rab interactor 3"	79890	314397	217835	-	0	0	Q86U22,Q8TB24	D3ZFZ0	Q6PDX1,Q3U332,P59729
RING1	"ring finger protein 1"	6015	309626	19763	RING1A|RNF1	0	0	Q06587	Q6MGB6	O35730
RIOK2	"RIO kinase 2"	55781	308201	67045	RIO2	0	0	Q9BVS4,D6RDI3	Q5I0I1	Q9CQS5
RIPK4	"receptor-interacting serine-threonine kinase 4"	54101	304053	72388	ANKK2|ANKRD3|DIK|NKRD3|PKK|RIP4	0	0	Q9H4D1,Q96T11		Q9ERK0
RLF	"rearranged L-myc fusion"	6018	313566	109263	ZN-15L|ZNF292L	0	0	Q13129		E9Q532
RLIM	"ring finger protein, LIM domain interacting"	51132	317241	19820	NY-REN-43|RNF12	0	0	Q9NVW2	Q4V889	Q9WTV7
RNASE2	"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)"	6036	474169	0	EDN|RNS2	0	0	P10153	Q5WN11	
RNF10	"ring finger protein 10"	9921	288710	50849	RIE2	0	0	Q8N5U6	Q5XI59	Q3UIW5
RNF103	"ring finger protein 103"	7844	84508	22644	HKF-1|KF-1|KF1|ZFP-103|ZFP103	0	0	O00237	Q497B6	Q3TGP6,Q9R1W3
RNF112	"ring finger protein 112"	7732	24916	22671	BFP|ZNF179	yes	20071532	Q9ULX5	O70418	Q96DY5
RNF113A	"ring finger protein 113A"	7737	0	66381	CWC24|RNF113|ZNF183	0	0	O15541		Q14B01,Q9D7A3
RNF113B	"ring finger protein 113B"	140432	0	0	RNF161|ZNF183L1|BA10G5.1	0	0	Q8IZP6		
RNF114	"ring finger protein 114"	55905	362277	81018	PSORS12|ZNF313	0	0	Q9Y508	Q6J2U6	Q9ET26,A2A462
RNF115	"ring finger protein 115"	27246	0	67845	BCA2|ZNF364	0	0	Q9Y4L5		Q9D0C1
RNF125	"ring finger protein 125, E3 ubiquitin protein ligase"	54941	361296	67664	TRAC-1|TRAC1	0	0	Q96EQ8	B1WCA3	Q9D9R0
RNF13	"ring finger protein 13"	11342	681578	24017	RZF	0	0	O43567	Q66HG0	Q3UTG4,Q8CB78,O54965
RNF135	"ring finger protein 135"	84282	303350	71956	MMFD|REUL|RIPLET	0	0	Q8IUD6,F5GX60	Q5M929	Q9CWS1,B2RRA5
RNF138	"ring finger protein 138, E3 ubiquitin protein ligase"	51444	94196	56515	HSD-4|NARF|STRIN|HNARF	0	0	Q8WVD3	Q99PD2	Q9CQE0
RNF14	"ring finger protein 14"	9604	619577	56736	ARA54|HFB30|TRIAD2	0	0	Q9UBS8,A8MTW5	Q3ZAU6	G3XA54,Q9JI90
RNF141	"ring finger protein 141"	50862	308900	67150	ZFP26|ZNF230	yes	12804569	Q8WVD5	Q6IV57	Q99MB7
RNF144A	"ring finger protein 144A"	9781	500636	108089	RNF144|UBCE7IP4	0	0	P50876		Q925F3
RNF166	"ring finger protein 166"	115992	365022	68718	-	0	0	H3BTU8,Q96A37	Q6J1I7	A2RS02,Q3U9F6
RNF19A	"ring finger protein 19A, E3 ubiquitin protein ligase"	25897	362900	30945	DORFIN|RNF19	0	0	Q9NV58	D3ZXM0	P50636
RNF2	"ring finger protein 2"	6045	304850	19821	BAP-1|BAP1|DING|HIPI3|RING1B|RING2	yes	16687444	Q99496	Q4KLY4	Q9CQJ4
RNF20	"ring finger protein 20, E3 ubiquitin protein ligase"	56254	313216	109331	BRE1|BRE1A|HBRE1	0	0	Q5VTR2		Q5DTM8
RNF24	"ring finger protein 24"	11237	362218	51902	G1L	0	0	Q9Y225		Q4VA59,Q8BGI1
RNF25	"ring finger protein 25"	64320	301515	57751	AO7	0	0	Q96BH1	D3ZQ26	Q9QZR0
RNF4	"ring finger protein 4"	6047	29274	19822	SLX5|SNURF	0	0	D6RF58,P78317	O88846	Q9QZS2
RNF41	"ring finger protein 41"	10193	362814	67588	FLRF|NRDP1	0	0	Q9H4P4,A6NFW0	Q5XIR0	Q8BH75
RNF6	"ring finger protein (C3H2C3 type) 6"	6049	304271	74132	-	0	0	B4DDP0,Q9Y252	D3ZRG6	Q9DBU5
RNF8	"ring finger protein 8, E3 ubiquitin protein ligase"	9025	361815	58230	HRNF8	0	0	O76064	Q4KLN8	Q8VC56
RNPS1	"RNA binding protein S1, serine-rich domain"	10921	287113	19826	E5.1	0	0	Q15287,D3DU92	Q6AYK1	Q99M28
ROCK1	"Rho-associated, coiled-coil containing protein kinase 1"	6093	81762	19877	P160ROCK|ROCK-I	0	0	Q13464	Q63644	Q3UE22,P70335
ROCK2	"Rho-associated, coiled-coil containing protein kinase 2"	9475	25537	19878	ROCK-II	0	0	O75116	F1LQT3	F8VPK5,P70336,Q3TR46
RORA	"RAR-related orphan receptor A"	6095	300807	19883	NR1F1|ROR1|ROR2|ROR3|RZR-ALPHA|RZRA	yes	7926749	P35398	D3ZDZ3	B1B189,P51448
RORB	"RAR-related orphan receptor B"	6096	309288	225998	NR1F2|ROR-BETA|RZR-BETA|RZRB|BA133M9.1	yes	7935491	Q58EY0,Q92753	F1LQ88	Q8R1B8
RORC	"RAR-related orphan receptor C"	6097	368158	19885	NR1F3|RORG|RZR-GAMMA|RZRG|TOR	yes	21392046	Q6I9R9,F1D8P6,P51449		P51450
RPA2	"replication protein A2, 32kDa"	6118	59102	19891	REPA2|RPA32	0	0	P15927	Q63528	Q3TE40
RPA4	"replication protein A4, 30kDa"	29935	0	20016	HSU24186	0	0	Q13156		P52432
RPL7	"ribosomal protein L7"	6129	297755	19989	L7|HUML7-1	0	0	P18124	B0K031	Q5M9N8,P14148
RPL7A	"ribosomal protein L7a"	6130	296596	27176	L7A|SURF3|TRUP	0	0	P62424	B0K021,P62425	P12970,Q58ET1
RPS3	"ribosomal protein S3"	6188	140654	27050	S3	0	0	J3KN86,P23396	P62909	Q5YLW3,P62908
RPS6KA4	"ribosomal protein S6 kinase, 90kDa, polypeptide 4"	8986	361715	56613	MSK2|RSK-B	0	0	A0PJF8,O75676		Q9Z2B9
RPS6KA5	"ribosomal protein S6 kinase, 90kDa, polypeptide 5"	9252	314384	73086	MSK1|MSPK1|RLPK	0	0	Q9UG98,O75582	D3ZY17	Q8C050
RREB1	"ras responsive element binding protein 1"	6239	306873	68750	FINB|HNT|LZ321|RREB-1|ZEP-1	yes	8816445	Q92766	D3ZI11	Q3UH06
RRN3	"RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)"	54700	304714	106298	A-270G1.2|TIFIA	0	0	Q9NYV6	B2GV13	B2RS91
RSF1	"remodeling and spacing factor 1"	51773	308839	233532	HBXAP|RSF-1|XAP8|P325	0	0	Q96T23,Q05DG0		E9Q4Y2
RSL1	"threonyl-tRNA synthetase 2, mitochondrial (putative)"	80222	310672	380855	MGC118400|RSLCAN-9	0	0	Q9BW92	Q68FW7	Q7M6Y1
RUFY3	"RUN and FYVE domain containing 3"	22902	360921	52822	RIPX|SINGAR1	0	0	Q7L099	Q5FVJ0	Q9D394
RUNX1	"runt-related transcription factor 1"	861	50662	12394	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2AB	yes	8035830	Q01196	Q63046	G3UWD2,Q03347,G3X9W7,Q3UM65
RUNX1T1	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	862	362489	12395	AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	0	0	Q7Z4J5,B2R6I9,E7EPN4,Q06455,B7Z4P4	D3ZWZ8	Q3UQX8,B1AXH9,Q61909,B1AXH8
RUNX2	"runt-related transcription factor 2"	860	367218	12393	AML3|CBFA1|CCD|CCD1|OSF-2|OSF2|PEA2AA|PEBP2A1|PEBP2A2|PEBP2AA|PEBP2AA1	yes	"11451945, 16574347"	Q13950		F8WHN7,Q08775
RUNX3	"runt-related transcription factor 3"	864	156726	12399	AML2|CBFA3|PEBP2AC	yes	16164020	Q13761	Q91ZK1	Q3U1Q3
RUVBL1	"RuvB-like 1 (E. coli)"	8607	65137	56505	ECP54|INO80H|NMP238|PONTIN|PONTIN52|RVB1|TIH1|TIP49|TIP49A	0	0	Q9Y265	P60123	P60122,Q3U1C2
RUVBL2	"RuvB-like 2 (E. coli)"	10856	292907	20174	ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B	0	0	Q9Y230	Q4QQS4	Q9WTM5,Q3TXT7
RXRA	"retinoid X receptor, alpha"	6256	25271	20181	NR2B1	yes	7838715	Q6P3U7,F1D8Q5,P19793	Q0VJ96	Q3UMU4,P28700,A2AJP1
RXRB	"retinoid X receptor, beta"	6257	361801	20182	DAUDI6|H-2RIIBP|NR2B2|RCOR-1	yes	12767074	Q5STP9,P28702,Q5STQ1		Q8VCR0,Q3TWJ1,P28704
RXRG	"retinoid X receptor, gamma"	6258	83574	20183	NR2B3|RXRC	yes	10328854	F1T097,P48443,F1D8Q7	Q5BJR8	E9Q9V9,P28705
RYBP	"RING1 and YY1 binding protein"	23429	312603	56353	AAP1|DEDAF|YEAF1	0	0	Q8N488	D3ZED1	Q8CCI5
S100A1	"S100 calcium binding protein A1"	6271	295214	20193	S100|S100-ALPHA|S100A	0	0	B2R5D9,P23297	P35467	P56565,Q91V77
SAFB	"scaffold attachment factor B"	6294	64196	224903	HAP|HET|SAF-B1|SAFB1	0	0	F5H0H3,Q15424,B7Z5B6,A0AV56,B7ZLP6	O88453	D3YXK2
SAFB2	"scaffold attachment factor B2"	9667	301126	224902	-	0	0	Q14151		Q80YR5
SALL1	"sal-like 1 (Drosophila)"	6299	307740	58198	HSAL1|SAL-1|TBS|ZNF794	yes	19942929	Q9NSC2	D3ZIF4	Q6P5E3
SALL2	"sal-like 2 (Drosophila)"	6297	305854	50524	HSAL2|SAL-2|ZNF795|P150(SAL2)	yes	21362508	Q9Y467	D4ADE6	Q8BP69,Q9QX96
SALL3	"sal-like 3 (Drosophila)"	27164	364910	20689	ZNF796	yes	19139273	Q9BXA9,A9JR48		Q62255
SALL4	"sal-like 4 (Drosophila)"	57167	0	99377	DRRS|HSAL4|ZNF797|DJ1112F19.1	yes	16840789	Q9UJQ4		A2AUZ9,Q8BX22,A2AUZ8
SAMD4B	"sterile alpha motif domain containing 4B"	55095	308473	233033	SMGB|HSMAUG2	0	0	Q5PRF9	D4A769	G5E8A7
SAP130	"Sin3A-associated protein, 130kDa"	79595	307527	269003	-	0	0	Q9H0E3		Q8BIH0
SAP18	"Sin3A-associated protein, 18kDa"	10284	290284	20220	2HOR0202|SAP18P	0	0	O00422	G3V7F6,Q3MHS8	E9Q317,O55128,Q4FZH3
SAP30	"Sin3A-associated protein, 30kDa"	8819	0	60406	-	0	0	O75446		O88574
SAP30BP	"SAP30 binding protein"	29115	360662	57230	HCNGP|HTRG|HTRP	0	0	Q9UHR5	B5DFL5	Q02614
SARNP	"SAP domain containing ribonucleoprotein"	84324	0	0	CIP29|HCC1|HSPC316|THO1	yes	18480465			
SART1	"squamous cell carcinoma antigen recognized by T cells"	9092	29678	20227	ARA1|HOMS1|SART1259|SNRNP110|SNU66	0	0	O43290	Q5XIW8	Q9Z315
SART3	"squamous cell carcinoma antigen recognized by T cells 3"	9733	304582	53890	DSAP1|P100|RP11-13G14|TIP110|P110|P110(NRB)	0	0	Q15020	D3ZAS8	Q9JLI8
SATB1	"SATB homeobox 1"	6304	316164	20230	-	yes	19933152	Q01826	Q5U2Y2	Q60611
SATB2	"SATB homeobox 2"	23314	501145	212712	-	yes	19933152	Q59FT3,B3KPQ9,Q9UPW6	D3ZJ19	Q546B3,Q8VI24
SCAF1	"SR-related CTD-associated factor 1"	58506	56081	233208	SRA1	0	0	Q9H7N4	Q63624	Q5U4C3
SCAF8	"SR-related CTD-associated factor 8"	22828	245926	106583	RBM16	0	0	Q05BU5,Q8NDE9,Q9UPN6	Q63623	Q8C9D3,Q6DID3
SCAND1	"SCAN domain containing 1"	51282	362252	19018	RAZ1|SDP1	0	0	P57086,Q9NZG6,H0UIA5	D4A6K0	Q2M4I6
SCAND2	"SCAN domain containing 2 pseudogene"	54581	0	0	SCAND2	0	0			
SCAND3	"SCAN domain containing 3"	114821	288622	71970	ZFP38-L|ZNF305P2|ZNF452|DJ1186N24.3	0	0	Q6R2W3	D3ZTR5	B2RPU8,Q8CEW7
SCAPER	"S-phase cyclin A-associated protein in the ER"	49855	117521	244891	ZNF291|ZFP291	0	0	H3BNR7,F5H7X8,Q6NSF1,Q9BY12		F8VQ70
SCMH1	"sex comb on midleg homolog 1 (Drosophila)"	22955	362581	29871	SCML3	0	0	B3KMZ7,Q96GD3	A2RRU0	B1AS50,Q8K214
SCML1	"sex comb on midleg-like 1 (Drosophila)"	6322	0	195726	-	0	0	Q9UN30		
SCML2	"sex comb on midleg-like 2 (Drosophila)"	10389	0	107815	-	0	0	Q9UQR0		E9Q796,Q8BYC8
SCML4	"sex comb on midleg-like 4 (Drosophila)"	256380	309859	268297	DJ47M23.1	yes	16355110	Q8N228	D3ZRV1	Q80VG1
SCRT1	"scratch homolog 1, zinc finger protein (Drosophila)"	83482	366951	170729	SCRT|ZNF898	yes	11274425	Q9BWW7	D4A919	Q99M85
SCRT2	"scratch homolog 2, zinc finger protein (Drosophila)"	85508	366229	545474	ZNF898B	yes	11274425	Q9NQ03	D3ZNS5	Q8BTH6
SCX	"scleraxis homolog A (mouse)"	642658	680712	20289	SCX|BHLHA41|BHLHA48	yes	10775504	Q7RTU7	G3V8X3	Q53ZC3,Q64124
SEBOX	"SEBOX homeobox"	645832	58922	18292	OG-9|OG9|OG9X	0	0	Q9HB31	Q9ERS8	P70368
